mode,tick,unique_count
destroy,60,0
destroy,120,0
destroy,180,0
destroy,240,0
destroy,300,0
destroy,360,0
destroy,420,0
destroy,480,0
destroy,540,0
destroy,600,0
destroy,660,0
destroy,720,0
destroy,780,0
destroy,840,0
destroy,900,0
destroy,960,0
destroy,1020,0
destroy,1080,0
destroy,1140,0
destroy,1200,0
destroy,1260,0
destroy,1320,0
destroy,1380,0
destroy,1440,0
destroy,1500,0
destroy,1560,0
destroy,1620,0
destroy,1680,0
destroy,1740,0
destroy,1800,0
destroy,1860,0
destroy,1920,0
destroy,1980,0
destroy,2040,0
destroy,2100,0
destroy,2160,0
destroy,2220,0
destroy,2280,0
destroy,2340,0
destroy,2400,0
destroy,2460,0
destroy,2520,0
destroy,2580,0
destroy,2640,0
destroy,2700,0
destroy,2760,0
destroy,2820,0
destroy,2880,0
destroy,2940,0
destroy,3000,0
destroy,3060,0
destroy,3120,0
destroy,3180,0
destroy,3240,0
destroy,3300,0
destroy,3360,0
destroy,3420,0
destroy,3480,0
destroy,3540,0
destroy,3600,0
destroy,3660,0
destroy,3720,0
destroy,3780,0
destroy,3840,0
destroy,3900,0
destroy,3960,0
destroy,4020,0
destroy,4080,0
destroy,4140,0
destroy,4200,0
destroy,4260,0
destroy,4320,0
destroy,4380,0
destroy,4440,0
destroy,4500,0
destroy,4560,0
destroy,4620,0
destroy,4680,0
destroy,4740,0
destroy,4800,0
destroy,4860,0
destroy,4920,0
destroy,4980,0
destroy,5040,0
destroy,5100,0
destroy,5160,0
destroy,5220,0
destroy,5280,0
destroy,5340,0
destroy,5400,0
destroy,5460,0
destroy,5520,0
destroy,5580,0
destroy,5640,0
destroy,5700,0
destroy,5760,0
destroy,5820,0
destroy,5880,0
destroy,5940,0
destroy,6000,0
destroy,6060,0
destroy,6120,0
destroy,6180,0
destroy,6240,0
destroy,6300,0
destroy,6360,0
destroy,6420,0
destroy,6480,0
destroy,6540,0
destroy,6600,0
destroy,6660,0
destroy,6720,0
destroy,6780,0
destroy,6840,0
destroy,6900,0
destroy,6960,0
destroy,7020,0
destroy,7080,0
destroy,7140,0
destroy,7200,0
destroy,7260,0
destroy,7320,0
destroy,7380,0
destroy,7440,0
destroy,7500,0
destroy,7560,0
destroy,7620,0
destroy,7680,0
destroy,7740,0
destroy,7800,0
destroy,7860,0
destroy,7920,0
destroy,7980,0
destroy,8040,0
destroy,8100,0
destroy,8160,0
destroy,8220,0
destroy,8280,0
destroy,8340,0
destroy,8400,0
destroy,8460,0
destroy,8520,0
destroy,8580,0
destroy,8640,0
destroy,8700,0
destroy,8760,0
destroy,8820,0
destroy,8880,0
destroy,8940,0
destroy,9000,0
destroy,9060,0
destroy,9120,0
destroy,9180,0
destroy,9240,0
destroy,9300,0
destroy,9360,0
destroy,9420,0
destroy,9480,0
destroy,9540,0
destroy,9600,0
destroy,9660,0
destroy,9720,0
destroy,9780,0
destroy,9840,0
destroy,9900,0
destroy,9960,0
destroy,10020,0
destroy,10080,0
destroy,10140,0
destroy,10200,0
destroy,10260,0
destroy,10320,0
destroy,10380,0
destroy,10440,0
destroy,10500,0
destroy,10560,0
destroy,10620,0
destroy,10680,0
destroy,10740,0
destroy,10800,0
destroy,10860,0
destroy,10920,0
destroy,10980,0
destroy,11040,0
destroy,11100,0
destroy,11160,0
destroy,11220,0
destroy,11280,0
destroy,11340,0
destroy,11400,0
destroy,11460,0
destroy,11520,0
destroy,11580,0
destroy,11640,0
destroy,11700,0
destroy,11760,0
destroy,11820,0
destroy,11880,0
destroy,11940,0
destroy,12000,0
destroy,12060,0
destroy,12120,0
destroy,12180,0
destroy,12240,0
destroy,12300,0
destroy,12360,0
destroy,12420,0
destroy,12480,0
destroy,12540,0
destroy,12600,0
destroy,12660,0
destroy,12720,0
destroy,12780,0
destroy,12840,0
destroy,12900,0
destroy,12960,0
destroy,13020,0
destroy,13080,0
destroy,13140,0
destroy,13200,0
destroy,13260,0
destroy,13320,0
destroy,13380,0
destroy,13440,0
destroy,13500,0
destroy,13560,0
destroy,13620,0
destroy,13680,0
destroy,13740,0
destroy,13800,0
destroy,13860,0
destroy,13920,0
destroy,13980,0
destroy,14040,0
destroy,14100,0
destroy,14160,0
destroy,14220,0
destroy,14280,0
destroy,14340,0
destroy,14400,0
destroy,14460,0
destroy,14520,0
destroy,14580,0
destroy,14640,0
destroy,14700,0
destroy,14760,0
destroy,14820,0
destroy,14880,0
destroy,14940,0
destroy,15000,0
destroy,15060,0
destroy,15120,0
destroy,15180,0
destroy,15240,0
destroy,15300,0
destroy,15360,0
destroy,15420,0
destroy,15480,0
destroy,15540,0
destroy,15600,0
destroy,15660,0
destroy,15720,0
destroy,15780,0
destroy,15840,0
destroy,15900,0
destroy,15960,0
destroy,16020,0
destroy,16080,0
destroy,16140,0
destroy,16200,0
destroy,16260,0
destroy,16320,0
destroy,16380,0
destroy,16440,0
destroy,16500,0
destroy,16560,0
destroy,16620,0
destroy,16680,0
destroy,16740,0
destroy,16800,0
destroy,16860,0
destroy,16920,0
destroy,16980,0
destroy,17040,0
destroy,17100,0
destroy,17160,0
destroy,17220,0
destroy,17280,0
destroy,17340,0
destroy,17400,0
destroy,17460,0
destroy,17520,0
destroy,17580,0
destroy,17640,0
destroy,17700,0
destroy,17760,0
destroy,17820,0
destroy,17880,0
destroy,17940,0
destroy,18000,0
destroy,18060,0
destroy,18120,0
destroy,18180,0
destroy,18240,0
destroy,18300,0
destroy,18360,0
destroy,18420,0
destroy,18480,0
destroy,18540,0
destroy,18600,0
destroy,18660,0
destroy,18720,0
destroy,18780,0
destroy,18840,0
destroy,18900,0
destroy,18960,0
destroy,19020,0
destroy,19080,0
destroy,19140,0
destroy,19200,0
destroy,19260,0
destroy,19320,0
destroy,19380,0
destroy,19440,0
destroy,19500,0
destroy,19560,0
destroy,19620,0
destroy,19680,0
destroy,19740,0
destroy,19800,0
destroy,19860,0
destroy,19920,0
destroy,19980,0
destroy,20040,0
destroy,20100,0
destroy,20160,0
destroy,20220,0
destroy,20280,0
destroy,20340,0
destroy,20400,0
destroy,20460,0
destroy,20520,0
destroy,20580,0
destroy,20640,0
destroy,20700,0
destroy,20760,0
destroy,20820,0
destroy,20880,0
destroy,20940,0
destroy,21000,0
destroy,21060,0
destroy,21120,0
destroy,21180,0
destroy,21240,0
destroy,21300,0
destroy,21360,0
destroy,21420,0
destroy,21480,0
destroy,21540,0
destroy,21600,0
destroy,21660,0
destroy,21720,0
destroy,21780,0
destroy,21840,0
destroy,21900,0
destroy,21960,0
destroy,22020,0
destroy,22080,0
destroy,22140,0
destroy,22200,0
destroy,22260,0
destroy,22320,0
destroy,22380,0
destroy,22440,0
destroy,22500,0
destroy,22560,0
destroy,22620,0
destroy,22680,0
destroy,22740,0
destroy,22800,0
destroy,22860,0
destroy,22920,0
destroy,22980,0
destroy,23040,0
destroy,23100,0
destroy,23160,0
destroy,23220,0
destroy,23280,0
destroy,23340,0
destroy,23400,0
destroy,23460,0
destroy,23520,0
destroy,23580,0
destroy,23640,0
destroy,23700,0
destroy,23760,0
destroy,23820,0
destroy,23880,0
destroy,23940,0
destroy,24000,0
destroy,24060,0
destroy,24120,0
destroy,24180,0
destroy,24240,0
destroy,24300,0
destroy,24360,0
destroy,24420,0
destroy,24480,0
destroy,24540,0
destroy,24600,0
destroy,24660,0
destroy,24720,0
destroy,24780,0
destroy,24840,0
destroy,24900,0
destroy,24960,0
destroy,25020,0
destroy,25080,0
