population,ticks_run,seeds,avg_steady_state_items_per_hour,inv7_tick_fraction,inv7_tick_fraction_min,inv7_tick_fraction_max,inv8_tick_fraction,inv9_tick_fraction
2,20000,"[42, 43, 44]",2.9015769650399688,1.0,1.0,1.0,1.0,0.0
3,20000,"[42, 43, 44]",2.953279788999616,1.0,1.0,1.0,1.0,0.0
4,20000,"[42, 43, 44]",2.8906429378462994,1.0,1.0,1.0,1.0,0.0005833333333333334
5,20000,"[42, 43, 44]",2.9407443086578606,1.0,1.0,1.0,1.0,0.0008500000000000001
6,20000,"[42, 43, 44]",2.9534054389133275,1.0,1.0,1.0,1.0,0.0005666666666666666
8,20000,"[42, 43, 44]",2.945956856221485,1.0,1.0,1.0,1.0,0.0034166666666666664
10,20000,"[42, 43, 44]",2.921391701271046,1.0,1.0,1.0,1.0,0.00175
15,20000,"[42, 43, 44]",2.9507172993730983,1.0,1.0,1.0,1.0,0.002266666666666667
20,20000,"[42, 43, 44]",2.93151750944962,0.03241666666666667,0.0283,0.03655,0.9364833333333333,0.006933333333333333
30,20000,"[42, 43, 44]",2.9072272061684203,0.08011666666666667,0.0241,0.19175,0.9305833333333333,0.012983333333333333
50,20000,"[42, 43, 44]",2.8818538580211217,0.07858333333333332,0.04565,0.10385,0.9246166666666666,0.018183333333333333
75,20000,"[42, 43, 44]",2.8647760998717673,0.046033333333333336,0.0291,0.06145,0.9288,0.0257
100,20000,"[42, 43, 44]",2.8233918479296585,0.02835,0.0106,0.05565,0.9292833333333334,0.04135
150,20000,"[42, 43, 44]",2.787076461536794,0.07263333333333333,0.0656,0.0783,0.9309166666666666,0.057083333333333326
200,20000,"[42, 43, 44]",2.7076790857297204,0.04508333333333333,0.01985,0.0797,0.9494833333333332,0.08368333333333333
