sweep,variant,scenario,seed,ticks_run,params,final_population,final_item_count,violations_total,violation_summary,ok
E-1,"held(60,90)_world(2880,4320)",hoarder_cohort,42,17280,"{""held_bleed_min"": 60, ""held_bleed_max"": 90, ""world_bleed_min"": 2880, ""world_bleed_max"": 4320}",20,49,2006338,"{""INV-7"": 17425, ""INV-8"": 1987040, ""INV-9"": 1873}",False
E-1,"held(60,90)_world(2880,4320)",unique_circulation,42,17280,"{""held_bleed_min"": 60, ""held_bleed_max"": 90, ""world_bleed_min"": 2880, ""world_bleed_max"": 4320}",15,35,1021182,"{""INV-7"": 319, ""INV-8"": 1020735, ""INV-9"": 128}",False
E-1,"held(60,90)_world(2880,3600)",hoarder_cohort,42,17280,"{""held_bleed_min"": 60, ""held_bleed_max"": 90, ""world_bleed_min"": 2880, ""world_bleed_max"": 3600}",20,49,2031973,"{""INV-7"": 17730, ""INV-8"": 2012900, ""INV-9"": 1343}",False
E-1,"held(60,90)_world(2880,3600)",unique_circulation,42,17280,"{""held_bleed_min"": 60, ""held_bleed_max"": 90, ""world_bleed_min"": 2880, ""world_bleed_max"": 3600}",15,35,1020552,"{""INV-7"": 319, ""INV-8"": 1020105, ""INV-9"": 128}",False
E-1,"held(60,90)_world(3600,4320)",hoarder_cohort,42,17280,"{""held_bleed_min"": 60, ""held_bleed_max"": 90, ""world_bleed_min"": 3600, ""world_bleed_max"": 4320}",20,49,2031973,"{""INV-7"": 17730, ""INV-8"": 2012900, ""INV-9"": 1343}",False
E-1,"held(60,90)_world(3600,4320)",unique_circulation,42,17280,"{""held_bleed_min"": 60, ""held_bleed_max"": 90, ""world_bleed_min"": 3600, ""world_bleed_max"": 4320}",15,35,1020552,"{""INV-7"": 319, ""INV-8"": 1020105, ""INV-9"": 128}",False
E-1,"held(60,75)_world(2880,4320)",hoarder_cohort,42,17280,"{""held_bleed_min"": 60, ""held_bleed_max"": 75, ""world_bleed_min"": 2880, ""world_bleed_max"": 4320}",20,49,1842967,"{""INV-7"": 1586, ""INV-8"": 1839860, ""INV-9"": 1521}",False
E-1,"held(60,75)_world(2880,4320)",unique_circulation,42,17280,"{""held_bleed_min"": 60, ""held_bleed_max"": 75, ""world_bleed_min"": 2880, ""world_bleed_max"": 4320}",15,35,1016225,"{""INV-7"": 779, ""INV-8"": 1015230, ""INV-9"": 216}",False
E-1,"held(60,75)_world(2880,3600)",hoarder_cohort,42,17280,"{""held_bleed_min"": 60, ""held_bleed_max"": 75, ""world_bleed_min"": 2880, ""world_bleed_max"": 3600}",20,49,1822057,"{""INV-7"": 1016, ""INV-8"": 1819520, ""INV-9"": 1521}",False
E-1,"held(60,75)_world(2880,3600)",unique_circulation,42,17280,"{""held_bleed_min"": 60, ""held_bleed_max"": 75, ""world_bleed_min"": 2880, ""world_bleed_max"": 3600}",15,35,1017845,"{""INV-7"": 779, ""INV-8"": 1016850, ""INV-9"": 216}",False
E-1,"held(60,75)_world(3600,4320)",hoarder_cohort,42,17280,"{""held_bleed_min"": 60, ""held_bleed_max"": 75, ""world_bleed_min"": 3600, ""world_bleed_max"": 4320}",20,49,1822057,"{""INV-7"": 1016, ""INV-8"": 1819520, ""INV-9"": 1521}",False
E-1,"held(60,75)_world(3600,4320)",unique_circulation,42,17280,"{""held_bleed_min"": 60, ""held_bleed_max"": 75, ""world_bleed_min"": 3600, ""world_bleed_max"": 4320}",15,35,1017845,"{""INV-7"": 779, ""INV-8"": 1016850, ""INV-9"": 216}",False
E-1,"held(75,90)_world(2880,4320)",hoarder_cohort,42,17280,"{""held_bleed_min"": 75, ""held_bleed_max"": 90, ""world_bleed_min"": 2880, ""world_bleed_max"": 4320}",20,49,2173307,"{""INV-7"": 18253, ""INV-8"": 2153120, ""INV-9"": 1934}",False
E-1,"held(75,90)_world(2880,4320)",unique_circulation,42,17280,"{""held_bleed_min"": 75, ""held_bleed_max"": 90, ""world_bleed_min"": 2880, ""world_bleed_max"": 4320}",15,35,1021837,"{""INV-7"": 1261, ""INV-8"": 1020360, ""INV-9"": 216}",False
E-1,"held(75,90)_world(2880,3600)",hoarder_cohort,42,17280,"{""held_bleed_min"": 75, ""held_bleed_max"": 90, ""world_bleed_min"": 2880, ""world_bleed_max"": 3600}",20,49,2172707,"{""INV-7"": 18253, ""INV-8"": 2152520, ""INV-9"": 1934}",False
E-1,"held(75,90)_world(2880,3600)",unique_circulation,42,17280,"{""held_bleed_min"": 75, ""held_bleed_max"": 90, ""world_bleed_min"": 2880, ""world_bleed_max"": 3600}",15,35,1022677,"{""INV-7"": 1261, ""INV-8"": 1021200, ""INV-9"": 216}",False
E-1,"held(75,90)_world(3600,4320)",hoarder_cohort,42,17280,"{""held_bleed_min"": 75, ""held_bleed_max"": 90, ""world_bleed_min"": 3600, ""world_bleed_max"": 4320}",20,49,2172707,"{""INV-7"": 18253, ""INV-8"": 2152520, ""INV-9"": 1934}",False
